Effective Date,30,90,180,index
2022-11-01,3.15407,2.88028,2.35104,1.05292298
2022-11-02,3.1564099999999997,2.88878,2.36372,1.05301219
2022-11-03,3.15808,2.8972800000000003,2.37645,1.0531014
2022-11-04,3.18347,2.91428,2.39339,1.05321256
2022-11-07,3.2589799999999998,2.9652700000000003,2.44422,1.05354608
2022-11-08,3.28339,2.9819400000000003,2.4610499999999997,1.0536567
2022-11-09,3.3078,2.99872,2.47783,1.05376734
2022-11-10,3.3321899999999998,3.0155000000000003,2.4946099999999998,1.05387798
2022-11-14,3.43072,3.08249,2.56163,1.05432061
2022-11-15,3.4558,3.09927,2.57847,1.05443161
2022-11-16,3.4812,3.1161700000000003,2.59537,1.05454291
2022-11-17,3.5065999999999997,3.13329,2.61239,1.05465451
2022-11-18,3.532,3.1503,2.62935,1.05476584
2022-11-21,3.60919,3.20132,2.68023,1.05509985
2022-11-22,3.63528,3.2184500000000003,2.6972,1.05521122
2022-11-23,3.66135,3.23557,2.7141699999999997,1.0553226
2022-11-25,3.7131499999999997,3.2693700000000003,2.7479899999999997,1.05554481
2022-11-28,3.7893499999999998,3.3204100000000003,2.79885,1.05587906
2022-11-29,3.81444,3.33731,2.8157099999999997,1.05599052
2022-11-30,3.8398399999999997,3.35433,2.83269,1.05610228
2022-12-01,3.86559,3.37146,2.84978,1.05621434
2022-12-02,3.89133,3.3886000000000003,2.8668799999999997,1.05632642
2022-12-05,3.9173999999999998,3.4396500000000003,2.91804,1.0566618
2022-12-06,3.91775,3.45667,2.9352,1.05677363
2022-12-07,3.91775,3.47369,2.9523599999999997,1.05688518
2022-12-08,3.91842,3.49072,2.9695099999999996,1.05699674
2022-12-09,3.91908,3.50775,2.9866699999999997,1.05710831
2022-12-12,3.9211199999999997,3.5588100000000003,3.0385999999999997,1.05744306
2022-12-13,3.9217999999999997,3.57584,3.05605,1.05755468
2022-12-14,3.92247,3.5929800000000003,3.06928,1.05766631
2022-12-15,3.9228,3.61001,3.0825,1.05777795
2022-12-16,3.94019,3.6329800000000003,3.0986599999999997,1.05790489
2022-12-19,3.99199,3.70187,3.1471299999999998,1.05828573
2022-12-20,4.00872,3.72473,3.16317,1.05841214
2022-12-21,4.025440000000001,3.7477,3.17928,1.05853856
2022-12-22,4.04216,3.7623800000000003,3.19527,1.058665
2022-12-23,4.05888,3.77707,3.21127,1.05879145
2022-12-27,4.12638,3.83588,3.2744,1.05929732
2022-12-28,4.1431000000000004,3.85068,3.29018,1.05942384
2022-12-29,4.159820000000001,3.8657,3.30584,1.05955038
2022-12-30,4.17621,3.8805,3.32151,1.05967694
2023-01-03,4.24103,3.9387700000000003,3.38394,1.06018323
2023-01-04,4.257750000000001,3.95301,3.3995599999999997,1.06031016
2023-01-05,4.27414,3.9670300000000003,3.41518,1.06043681
2023-01-06,4.29119,3.98116,3.43085,1.06056377
2023-01-09,4.34234,4.02354,3.47782,1.06094468
2023-01-10,4.3594100000000005,4.03767,3.4935,1.0610717
